THAIDATE,Month,DATE,NAV
20 ก.พ. 68,ก.พ.,20-Feb-2025,11.9824
19 ก.พ. 68,ก.พ.,19-Feb-2025,11.9784
18 ก.พ. 68,ก.พ.,18-Feb-2025,11.9775
17 ก.พ. 68,ก.พ.,17-Feb-2025,11.9786
14 ก.พ. 68,ก.พ.,14-Feb-2025,11.9734
13 ก.พ. 68,ก.พ.,13-Feb-2025,11.9677
11 ก.พ. 68,ก.พ.,11-Feb-2025,11.9740
10 ก.พ. 68,ก.พ.,10-Feb-2025,11.9756
07 ก.พ. 68,ก.พ.,07-Feb-2025,11.9763
06 ก.พ. 68,ก.พ.,06-Feb-2025,11.9728
05 ก.พ. 68,ก.พ.,05-Feb-2025,11.9685
04 ก.พ. 68,ก.พ.,04-Feb-2025,11.9620
03 ก.พ. 68,ก.พ.,03-Feb-2025,11.9610
31 ม.ค. 68,ม.ค.,31-Jan-2025,11.9602
30 ม.ค. 68,ม.ค.,30-Jan-2025,11.9646
29 ม.ค. 68,ม.ค.,29-Jan-2025,11.9631
28 ม.ค. 68,ม.ค.,28-Jan-2025,11.9600
27 ม.ค. 68,ม.ค.,27-Jan-2025,11.9594
24 ม.ค. 68,ม.ค.,24-Jan-2025,11.9476
23 ม.ค. 68,ม.ค.,23-Jan-2025,11.9489
22 ม.ค. 68,ม.ค.,22-Jan-2025,11.9454
21 ม.ค. 68,ม.ค.,21-Jan-2025,11.9398
20 ม.ค. 68,ม.ค.,20-Jan-2025,11.9369
17 ม.ค. 68,ม.ค.,17-Jan-2025,11.9361
16 ม.ค. 68,ม.ค.,16-Jan-2025,11.9321
15 ม.ค. 68,ม.ค.,15-Jan-2025,11.9248
14 ม.ค. 68,ม.ค.,14-Jan-2025,11.9244
13 ม.ค. 68,ม.ค.,13-Jan-2025,11.9295
10 ม.ค. 68,ม.ค.,10-Jan-2025,11.9360
09 ม.ค. 68,ม.ค.,09-Jan-2025,11.9365
08 ม.ค. 68,ม.ค.,08-Jan-2025,11.9347
07 ม.ค. 68,ม.ค.,07-Jan-2025,11.9367
06 ม.ค. 68,ม.ค.,06-Jan-2025,11.9356
03 ม.ค. 68,ม.ค.,03-Jan-2025,11.9403
02 ม.ค. 68,ม.ค.,02-Jan-2025,11.9389
30 ธ.ค. 67,ธ.ค.,30-Dec-2024,11.9294
27 ธ.ค. 67,ธ.ค.,27-Dec-2024,11.9301
26 ธ.ค. 67,ธ.ค.,26-Dec-2024,11.9330
25 ธ.ค. 67,ธ.ค.,25-Dec-2024,11.9343
24 ธ.ค. 67,ธ.ค.,24-Dec-2024,11.9324
23 ธ.ค. 67,ธ.ค.,23-Dec-2024,11.9356
20 ธ.ค. 67,ธ.ค.,20-Dec-2024,11.9330
19 ธ.ค. 67,ธ.ค.,19-Dec-2024,11.9347
18 ธ.ค. 67,ธ.ค.,18-Dec-2024,11.9406
17 ธ.ค. 67,ธ.ค.,17-Dec-2024,11.9380
16 ธ.ค. 67,ธ.ค.,16-Dec-2024,11.9355
13 ธ.ค. 67,ธ.ค.,13-Dec-2024,11.9362
12 ธ.ค. 67,ธ.ค.,12-Dec-2024,11.9371
11 ธ.ค. 67,ธ.ค.,11-Dec-2024,11.9406
09 ธ.ค. 67,ธ.ค.,09-Dec-2024,11.9440
06 ธ.ค. 67,ธ.ค.,06-Dec-2024,11.9407
04 ธ.ค. 67,ธ.ค.,04-Dec-2024,11.9339
03 ธ.ค. 67,ธ.ค.,03-Dec-2024,11.9380
02 ธ.ค. 67,ธ.ค.,02-Dec-2024,11.9311
29 พ.ย. 67,พ.ย.,29-Nov-2024,11.9275
28 พ.ย. 67,พ.ย.,28-Nov-2024,11.9215
27 พ.ย. 67,พ.ย.,27-Nov-2024,11.9157
26 พ.ย. 67,พ.ย.,26-Nov-2024,11.9103
25 พ.ย. 67,พ.ย.,25-Nov-2024,11.9044
22 พ.ย. 67,พ.ย.,22-Nov-2024,11.8973
21 พ.ย. 67,พ.ย.,21-Nov-2024,11.8941
20 พ.ย. 67,พ.ย.,20-Nov-2024,11.8930
19 พ.ย. 67,พ.ย.,19-Nov-2024,11.8935
18 พ.ย. 67,พ.ย.,18-Nov-2024,11.8886
15 พ.ย. 67,พ.ย.,15-Nov-2024,11.8877
14 พ.ย. 67,พ.ย.,14-Nov-2024,11.8854
13 พ.ย. 67,พ.ย.,13-Nov-2024,11.8866
12 พ.ย. 67,พ.ย.,12-Nov-2024,11.8919
11 พ.ย. 67,พ.ย.,11-Nov-2024,11.8894
08 พ.ย. 67,พ.ย.,08-Nov-2024,11.8882
07 พ.ย. 67,พ.ย.,07-Nov-2024,11.8798
06 พ.ย. 67,พ.ย.,06-Nov-2024,11.8781
05 พ.ย. 67,พ.ย.,05-Nov-2024,11.8844
04 พ.ย. 67,พ.ย.,04-Nov-2024,11.8825
01 พ.ย. 67,พ.ย.,01-Nov-2024,11.8796
31 ต.ค. 67,ต.ค.,31-Oct-2024,11.8788
30 ต.ค. 67,ต.ค.,30-Oct-2024,11.8809
29 ต.ค. 67,ต.ค.,29-Oct-2024,11.8734
28 ต.ค. 67,ต.ค.,28-Oct-2024,11.8786
25 ต.ค. 67,ต.ค.,25-Oct-2024,11.8820
24 ต.ค. 67,ต.ค.,24-Oct-2024,11.8780
22 ต.ค. 67,ต.ค.,22-Oct-2024,11.8771
21 ต.ค. 67,ต.ค.,21-Oct-2024,11.8853
18 ต.ค. 67,ต.ค.,18-Oct-2024,11.8804
17 ต.ค. 67,ต.ค.,17-Oct-2024,11.8814
16 ต.ค. 67,ต.ค.,16-Oct-2024,11.8812
15 ต.ค. 67,ต.ค.,15-Oct-2024,11.8683
11 ต.ค. 67,ต.ค.,11-Oct-2024,11.8613
10 ต.ค. 67,ต.ค.,10-Oct-2024,11.8596
09 ต.ค. 67,ต.ค.,09-Oct-2024,11.8619
08 ต.ค. 67,ต.ค.,08-Oct-2024,11.8593
07 ต.ค. 67,ต.ค.,07-Oct-2024,11.8594
04 ต.ค. 67,ต.ค.,04-Oct-2024,11.8656
03 ต.ค. 67,ต.ค.,03-Oct-2024,11.8685
02 ต.ค. 67,ต.ค.,02-Oct-2024,11.8702
01 ต.ค. 67,ต.ค.,01-Oct-2024,11.8686
30 ก.ย. 67,ก.ย.,30-Sep-2024,11.8688
27 ก.ย. 67,ก.ย.,27-Sep-2024,11.8658
26 ก.ย. 67,ก.ย.,26-Sep-2024,11.8673
25 ก.ย. 67,ก.ย.,25-Sep-2024,11.8694
24 ก.ย. 67,ก.ย.,24-Sep-2024,11.8670
23 ก.ย. 67,ก.ย.,23-Sep-2024,11.8683
20 ก.ย. 67,ก.ย.,20-Sep-2024,11.8704
19 ก.ย. 67,ก.ย.,19-Sep-2024,11.8673
18 ก.ย. 67,ก.ย.,18-Sep-2024,11.8672
17 ก.ย. 67,ก.ย.,17-Sep-2024,11.8683
16 ก.ย. 67,ก.ย.,16-Sep-2024,11.8636
13 ก.ย. 67,ก.ย.,13-Sep-2024,11.8616
12 ก.ย. 67,ก.ย.,12-Sep-2024,11.8595
11 ก.ย. 67,ก.ย.,11-Sep-2024,11.8611
10 ก.ย. 67,ก.ย.,10-Sep-2024,11.8557
